,STATISTIC,STATISTIC Label,TLIST(M1),Month,C02431V02938,Meteorological Weather Station,UNIT,VALUE
2869,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,5,Claremorris,Knots,48.0
2870,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,6,Clones,Knots,55.0
2871,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,7,Cork airport,Knots,54.0
2872,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,8,Dublin airport,Knots,43.0
2874,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,10,Kilkenny,Knots,44.0
2875,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,11,Malin head,Knots,63.0
2876,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,12,Mullingar,Knots,48.0
2877,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,13,Roches Point,Knots,60.0
2878,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,14,Rosslare,Knots,50.0
2879,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197312,1973M12,15,Shannon airport,Knots,46.0
2880,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,1,Belmullet,Knots,78.0
2881,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,2,Birr,Knots,85.0
2882,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,3,Valentia Observatory,Knots,87.0
2883,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,4,Casement,Knots,77.0
2884,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,5,Claremorris,Knots,96.0
2885,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,6,Clones,Knots,74.0
2886,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,7,Cork airport,Knots,94.0
2887,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,8,Dublin airport,Knots,75.0
2889,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,10,Kilkenny,Knots,77.0
2890,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,11,Malin head,Knots,87.0
2891,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,12,Mullingar,Knots,76.0
2892,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,13,Roches Point,Knots,83.0
2893,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,14,Rosslare,Knots,76.0
2894,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197401,1974M01,15,Shannon airport,Knots,79.0
2895,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,1,Belmullet,Knots,66.0
2896,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,2,Birr,Knots,46.0
2897,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,3,Valentia Observatory,Knots,72.0
2898,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,4,Casement,Knots,61.0
2899,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,5,Claremorris,Knots,55.0
2900,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,6,Clones,Knots,52.0
2901,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,7,Cork airport,Knots,56.0
2902,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,8,Dublin airport,Knots,52.0
2904,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,10,Kilkenny,Knots,46.0
2905,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,11,Malin head,Knots,57.0
2906,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,12,Mullingar,Knots,56.0
2907,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,13,Roches Point,Knots,62.0
2908,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,14,Rosslare,Knots,65.0
2909,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197402,1974M02,15,Shannon airport,Knots,57.0
2910,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,1,Belmullet,Knots,63.0
2911,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,2,Birr,Knots,49.0
2912,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,3,Valentia Observatory,Knots,53.0
2913,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,4,Casement,Knots,49.0
2914,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,5,Claremorris,Knots,56.0
2915,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,6,Clones,Knots,42.0
2916,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,7,Cork airport,Knots,51.0
2917,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,8,Dublin airport,Knots,49.0
2919,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,10,Kilkenny,Knots,47.0
2920,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,11,Malin head,Knots,58.0
2921,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,12,Mullingar,Knots,47.0
2922,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,13,Roches Point,Knots,56.0
2923,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,14,Rosslare,Knots,45.0
2924,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197403,1974M03,15,Shannon airport,Knots,49.0
2925,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,1,Belmullet,Knots,36.0
2927,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,3,Valentia Observatory,Knots,39.0
2931,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,7,Cork airport,Knots,36.0
2935,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,11,Malin head,Knots,47.0
2937,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,13,Roches Point,Knots,39.0
2938,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,14,Rosslare,Knots,42.0
2939,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197404,1974M04,15,Shannon airport,Knots,35.0
2940,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,1,Belmullet,Knots,43.0
2941,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,2,Birr,Knots,42.0
2942,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,3,Valentia Observatory,Knots,50.0
2943,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,4,Casement,Knots,51.0
2944,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,5,Claremorris,Knots,40.0
2945,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,6,Clones,Knots,44.0
2946,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,7,Cork airport,Knots,45.0
2947,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,8,Dublin airport,Knots,48.0
2949,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,10,Kilkenny,Knots,41.0
2950,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,11,Malin head,Knots,55.0
2951,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,12,Mullingar,Knots,41.0
2952,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,13,Roches Point,Knots,50.0
2953,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,14,Rosslare,Knots,49.0
2954,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197405,1974M05,15,Shannon airport,Knots,42.0
2955,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,1,Belmullet,Knots,44.0
2956,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,2,Birr,Knots,41.0
2957,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,3,Valentia Observatory,Knots,53.0
2958,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,4,Casement,Knots,46.0
2959,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,5,Claremorris,Knots,38.0
2960,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,6,Clones,Knots,43.0
2961,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,7,Cork airport,Knots,39.0
2962,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,8,Dublin airport,Knots,50.0
2964,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,10,Kilkenny,Knots,40.0
2965,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,11,Malin head,Knots,45.0
2966,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,12,Mullingar,Knots,40.0
2967,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,13,Roches Point,Knots,46.0
2968,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,14,Rosslare,Knots,40.0
2969,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197406,1974M06,15,Shannon airport,Knots,45.0
2970,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,1,Belmullet,Knots,38.0
2971,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,2,Birr,Knots,36.0
2972,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,3,Valentia Observatory,Knots,36.0
2973,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,4,Casement,Knots,45.0
2974,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,5,Claremorris,Knots,38.0
2975,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,6,Clones,Knots,39.0
2976,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,7,Cork airport,Knots,36.0
2977,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,8,Dublin airport,Knots,48.0
2980,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,11,Malin head,Knots,46.0
2981,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,12,Mullingar,Knots,36.0
2982,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,13,Roches Point,Knots,42.0
2983,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,14,Rosslare,Knots,43.0
2984,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197407,1974M07,15,Shannon airport,Knots,38.0
2985,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,1,Belmullet,Knots,49.0
2986,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,2,Birr,Knots,38.0
2987,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,3,Valentia Observatory,Knots,43.0
2988,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,4,Casement,Knots,42.0
2989,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,5,Claremorris,Knots,39.0
2990,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,6,Clones,Knots,34.0
2991,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,7,Cork airport,Knots,39.0
2992,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,8,Dublin airport,Knots,41.0
2994,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,10,Kilkenny,Knots,34.0
2995,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,11,Malin head,Knots,47.0
2996,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,12,Mullingar,Knots,35.0
2997,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,13,Roches Point,Knots,41.0
2998,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,14,Rosslare,Knots,42.0
2999,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197408,1974M08,15,Shannon airport,Knots,37.0
3000,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,1,Belmullet,Knots,44.0
3001,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,2,Birr,Knots,43.0
3002,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,3,Valentia Observatory,Knots,61.0
3003,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,4,Casement,Knots,50.0
3004,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,5,Claremorris,Knots,47.0
3005,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,6,Clones,Knots,43.0
3006,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,7,Cork airport,Knots,57.0
3007,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,8,Dublin airport,Knots,47.0
3009,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,10,Kilkenny,Knots,45.0
3010,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,11,Malin head,Knots,54.0
3011,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,12,Mullingar,Knots,41.0
3012,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,13,Roches Point,Knots,71.0
3013,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,14,Rosslare,Knots,65.0
3014,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197409,1974M09,15,Shannon airport,Knots,50.0
3015,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,1,Belmullet,Knots,51.0
3016,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,2,Birr,Knots,41.0
3017,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,3,Valentia Observatory,Knots,49.0
3018,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,4,Casement,Knots,41.0
3019,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,5,Claremorris,Knots,46.0
3020,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,6,Clones,Knots,52.0
3021,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,7,Cork airport,Knots,49.0
3022,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,8,Dublin airport,Knots,44.0
3024,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,10,Kilkenny,Knots,48.0
3025,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,11,Malin head,Knots,68.0
3026,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,12,Mullingar,Knots,45.0
3027,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,13,Roches Point,Knots,58.0
3028,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,14,Rosslare,Knots,45.0
3029,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197410,1974M10,15,Shannon airport,Knots,46.0
3030,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,1,Belmullet,Knots,65.0
3031,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,2,Birr,Knots,50.0
3032,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,3,Valentia Observatory,Knots,54.0
3033,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,4,Casement,Knots,62.0
3034,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,5,Claremorris,Knots,67.0
3035,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,6,Clones,Knots,58.0
3036,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,7,Cork airport,Knots,54.0
3037,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,8,Dublin airport,Knots,63.0
3039,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,10,Kilkenny,Knots,46.0
3040,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,11,Malin head,Knots,75.0
3041,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,12,Mullingar,Knots,51.0
3042,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,13,Roches Point,Knots,59.0
3043,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,14,Rosslare,Knots,58.0
3044,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197411,1974M11,15,Shannon airport,Knots,57.0
3045,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,1,Belmullet,Knots,68.0
3046,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,2,Birr,Knots,51.0
3047,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,3,Valentia Observatory,Knots,57.0
3048,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,4,Casement,Knots,57.0
3049,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,5,Claremorris,Knots,65.0
3050,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,6,Clones,Knots,53.0
3051,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,7,Cork airport,Knots,59.0
3052,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,8,Dublin airport,Knots,60.0
3054,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,10,Kilkenny,Knots,53.0
3055,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,11,Malin head,Knots,69.0
3056,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,12,Mullingar,Knots,58.0
3057,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,13,Roches Point,Knots,62.0
3058,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,14,Rosslare,Knots,50.0
3059,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197412,1974M12,15,Shannon airport,Knots,57.0
3060,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,1,Belmullet,Knots,75.0
3061,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,2,Birr,Knots,52.0
3062,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,3,Valentia Observatory,Knots,66.0
3063,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,4,Casement,Knots,68.0
3064,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,5,Claremorris,Knots,56.0
3065,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,6,Clones,Knots,61.0
3066,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,7,Cork airport,Knots,63.0
3067,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,8,Dublin airport,Knots,55.0
3069,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,10,Kilkenny,Knots,55.0
3070,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,11,Malin head,Knots,75.0
3071,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,12,Mullingar,Knots,59.0
3072,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,13,Roches Point,Knots,75.0
3073,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,14,Rosslare,Knots,58.0
3074,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197501,1975M01,15,Shannon airport,Knots,65.0
3075,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,1,Belmullet,Knots,50.0
3076,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,2,Birr,Knots,41.0
3077,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,3,Valentia Observatory,Knots,46.0
3078,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,4,Casement,Knots,58.0
3079,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,5,Claremorris,Knots,41.0
3080,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,6,Clones,Knots,37.0
3081,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,7,Cork airport,Knots,40.0
3082,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,8,Dublin airport,Knots,38.0
3085,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,11,Malin head,Knots,59.0
3086,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,12,Mullingar,Knots,40.0
3087,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,13,Roches Point,Knots,40.0
3088,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,14,Rosslare,Knots,43.0
3089,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197502,1975M02,15,Shannon airport,Knots,45.0
3090,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,1,Belmullet,Knots,46.0
3091,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,2,Birr,Knots,44.0
3092,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,3,Valentia Observatory,Knots,43.0
3093,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,4,Casement,Knots,48.0
3094,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,5,Claremorris,Knots,39.0
3095,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,6,Clones,Knots,39.0
3096,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,7,Cork airport,Knots,42.0
3097,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,8,Dublin airport,Knots,40.0
3099,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,10,Kilkenny,Knots,36.0
3100,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,11,Malin head,Knots,49.0
3101,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,12,Mullingar,Knots,40.0
3102,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,13,Roches Point,Knots,51.0
3103,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,14,Rosslare,Knots,51.0
3104,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197503,1975M03,15,Shannon airport,Knots,41.0
3105,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,1,Belmullet,Knots,49.0
3106,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,2,Birr,Knots,41.0
3107,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,3,Valentia Observatory,Knots,43.0
3108,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,4,Casement,Knots,48.0
3109,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,5,Claremorris,Knots,41.0
3110,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,6,Clones,Knots,48.0
3111,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,7,Cork airport,Knots,44.0
3112,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,8,Dublin airport,Knots,42.0
3114,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,10,Kilkenny,Knots,40.0
3115,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,11,Malin head,Knots,58.0
3116,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,12,Mullingar,Knots,43.0
3117,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,13,Roches Point,Knots,52.0
3118,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,14,Rosslare,Knots,41.0
3119,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197504,1975M04,15,Shannon airport,Knots,44.0
3120,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,1,Belmullet,Knots,37.0
3122,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,3,Valentia Observatory,Knots,39.0
3123,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,4,Casement,Knots,40.0
3125,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,6,Clones,Knots,35.0
3126,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,7,Cork airport,Knots,38.0
3127,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,8,Dublin airport,Knots,35.0
3130,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,11,Malin head,Knots,41.0
3131,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,12,Mullingar,Knots,37.0
3132,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,13,Roches Point,Knots,43.0
3133,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,14,Rosslare,Knots,48.0
3134,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197505,1975M05,15,Shannon airport,Knots,35.0
3135,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197506,1975M06,1,Belmullet,Knots,48.0
3136,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197506,1975M06,2,Birr,Knots,42.0
3137,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197506,1975M06,3,Valentia Observatory,Knots,46.0
3138,MTM04,"Wind, Maximum Gale Gust (>33.5 Knots)",197506,1975M06,4,Casement,Knots,50.0
